from_stop_id,to_stop_id,from_trip_id,to_trip_id,transfer_type
80416,80416,2023-06-18_53170-1_0,2023-06-18_53170-1_1,1
80416,80416,2023-06-18_5360-1_0,2023-06-18_5360-1_1,1
80416,80416,2023-06-19_13112-3_0,2023-06-19_13112-3_1,1
80416,80416,2023-06-19_31112-3_0,2023-06-19_31112-3_1,1
80416,80416,2023-06-19_35104-5_0,2023-06-19_35104-5_1,1
80416,80416,2023-06-19_35170-1_0,2023-06-19_35170-1_1,1
80416,80416,2023-06-19_3560-1_0,2023-06-19_3560-1_1,1
54908,54908,2023-06-19_36102-3_0,2023-06-19_36102-3_1,1
80416,80416,2023-06-19_53104-5_0,2023-06-19_53104-5_1,1
80416,80416,2023-06-19_53170-1_0,2023-06-19_53170-1_1,1
80416,80416,2023-06-19_5360-1_0,2023-06-19_5360-1_1,1
54908,54908,2023-06-19_63102-3_0,2023-06-19_63102-3_1,1
80416,80416,2023-06-20_13112-3_0,2023-06-20_13112-3_1,1
80416,80416,2023-06-20_31112-3_0,2023-06-20_31112-3_1,1
80416,80416,2023-06-20_35104-5_0,2023-06-20_35104-5_1,1
80416,80416,2023-06-20_35170-1_0,2023-06-20_35170-1_1,1
80416,80416,2023-06-20_3560-1_0,2023-06-20_3560-1_1,1
54908,54908,2023-06-20_36102-3_0,2023-06-20_36102-3_1,1
80416,80416,2023-06-20_53104-5_0,2023-06-20_53104-5_1,1
80416,80416,2023-06-20_53170-1_0,2023-06-20_53170-1_1,1
80416,80416,2023-06-20_5360-1_0,2023-06-20_5360-1_1,1
54908,54908,2023-06-20_63102-3_0,2023-06-20_63102-3_1,1
80416,80416,2023-06-21_13112-3_0,2023-06-21_13112-3_1,1
80416,80416,2023-06-21_31112-3_0,2023-06-21_31112-3_1,1
80416,80416,2023-06-21_35104-5_0,2023-06-21_35104-5_1,1
80416,80416,2023-06-21_35170-1_0,2023-06-21_35170-1_1,1
80416,80416,2023-06-21_3560-1_0,2023-06-21_3560-1_1,1
54908,54908,2023-06-21_36102-3_0,2023-06-21_36102-3_1,1
80416,80416,2023-06-21_53104-5_0,2023-06-21_53104-5_1,1
80416,80416,2023-06-21_5360-1_0,2023-06-21_5360-1_1,1
54908,54908,2023-06-21_63102-3_0,2023-06-21_63102-3_1,1
54908,54908,2023-06-22_36102-3_0,2023-06-22_36102-3_1,1
54908,54908,2023-06-22_63102-3_0,2023-06-22_63102-3_1,1
54908,54908,2023-06-23_36102-3_0,2023-06-23_36102-3_1,1
54908,54908,2023-06-23_63102-3_0,2023-06-23_63102-3_1,1
65300,65300,2023-07-01_13104-5_0,2023-07-01_13104-5_1,1
65300,65300,2023-07-01_13106-7_0,2023-07-01_13106-7_1,1
49205,49205,2023-07-01_31104-5_0,2023-07-01_31104-5_1,1
